video_id,url,titulo,likes,dislikes,salvos,downloads,duracao,comentarios,qualidade_px,canal_id,canal_nome,canal_inscritos,categorias,palavras_chave,descricao,data_postagem,visibilidade,playlist_id,playlist_nome,idioma
GboIRoL3u6a,https://www.youtube.com/watch?v=GboIRoL3u6a,Como melhorar em Produtividade (dicas rápidas) [1],131225,16635,39117,33270,00:42:34,3063,480,UC1000000214,Canal Produtividade 01,211005,Finanças;Educação;Viagem,saúde;dicas;review;receita;avançado;2025,"Conteúdo em português, focado em aplicação prática e boas práticas. Se este material te ajudou, compartilhe e salve para rever depois. Canal: Canal Produtividade 01. Novos vídeos toda semana. Neste vídeo, você vai ver como melhorar em produtividade (dicas rápidas) [1] com exemplos diretos.",2019-12-17,PUBLICO,,,pt-PT
qq8vH2BzNZV,https://www.youtube.com/watch?v=qq8vH2BzNZV,Erros comuns em Produtividade e como evitar (2)   ,235828,3965,4196,15080,00:41:10,1163,2160,UC1000000214,Canal Produtividade 01,211005,Educação;Música;Tecnologia;Educação,ciência;economia;passo a passo;rotina,"Neste vídeo, você vai ver erros comuns em produtividade e como evitar (2) com exemplos diretos. Se este material te ajudou, compartilhe e salve para rever depois. Canal: Canal Produtividade 01. Novos vídeos toda semana. Conteúdo em português, focado em aplicação prática e boas práticas.",2021-05-27,PUBLICO,,,PT-BR
8F80ymm3T20,https://www.youtube.com/watch?v=8F80ymm3T20,Erros comuns em Produtividade e como evitar (3),226449,6449,11118,14322,00:17:58,8786,1080,UC1000000214,Canal Produtividade 01,211005,Notícias,iniciante;django;2025;ciência;passo a passo,"Conteúdo em português, focado em aplicação prática e boas práticas. Neste vídeo, você vai ver erros comuns em produtividade e como evitar (3) com exemplos diretos. Se este material te ajudou, compartilhe e salve para rever depois. Canal: Canal Produtividade 01. Novos vídeos toda semana.",2019-07-27,PUBLICO,PL100000158,Produtividade — Série 1,pt-BR
Ev0-9BZhvWa,https://www.youtube.com/watch?v=Ev0-9BZhvWa,Erros comuns em Produtividade e como evitar (4),69521,12863,13861,18211,00:46:11,2536,480,UC1000000214,Canal Produtividade 01,211005,Música;Educação,viagem;brasil;tutorial;humor;economia;notícias;games;carreira,"Conteúdo em português, focado em aplicação prática e boas práticas. Neste vídeo, você vai ver erros comuns em produtividade e como evitar (4) com exemplos diretos. Se este material te ajudou, compartilhe e salve para rever depois. Canal: Canal Produtividade 01. Novos vídeos toda semana.",2019-08-21,PRIVADO,PL100000369,Produtividade — Série 3,pt-BR
iEZpFfk1OHA,https://www.youtube.com/watch?v=iEZpFfk1OHA,Como melhorar em Produtividade (dicas rápidas) [5],62570,1072,9830,1188,00:01:38,4612,360,UC1000000214,Canal Produtividade 01,211005,Finanças,rotina;iniciante;aula;receita;humor,"Se este material te ajudou, compartilhe e salve para rever depois. Conteúdo em português, focado em aplicação prática e boas práticas. Canal: Canal Produtividade 01. Novos vídeos toda semana. Neste vídeo, você vai ver como melhorar em produtividade (dicas rápidas) [5] com exemplos diretos.",2022-03-13,PUBLICO,PL100000369,Produtividade — Série 3,pt-PT
bMnrHontIKA,https://www.youtube.com/watch?v=bMnrHontIKA,Como melhorar em Produtividade (dicas rápidas) [6],53371,4325,8228,1664,00:07:18,6794,720,UC1000000214,Canal Produtividade 01,211005,Educação,música;aula;tecnologia;iniciante;como fazer;viagem,"Neste vídeo, você vai ver como melhorar em produtividade (dicas rápidas) [6] com exemplos diretos. Conteúdo em português, focado em aplicação prática e boas práticas. Se este material te ajudou, compartilhe e salve para rever depois. Canal: Canal Produtividade 01. Novos vídeos toda semana.",2025-04-16,PUBLICO,,,pt-BR
teVs3qfNUfT,https://www.youtube.com/watch?v=teVs3qfNUfT,Produtividade na prática — episódio 7,178799,1684,36692,26632,00:43:22,7757,480,UC1000000214,Canal Produtividade 01,211005,Notícias,como fazer;viagem;economia;games,"Conteúdo em português, focado em aplicação prática e boas práticas. Neste vídeo, você vai ver produtividade na prática — episódio 7 com exemplos diretos. Se este material te ajudou, compartilhe e salve para rever depois. Canal: Canal Produtividade 01. Novos vídeos toda semana.",2021-12-28,PUBLICO,PL100000158,Produtividade — Série 1,pt-BR
8Cz6SNDCdyZ,https://www.youtube.com/watch?v=8Cz6SNDCdyZ,Como melhorar em Produtividade (dicas rápidas) [8],73034,15841,23012,13096,00:47:23,8785,720,UC1000000214,Canal Produtividade 01,211005,Tecnologia,como fazer;carreira;iniciante;tutorial;review;produtividade,"Neste vídeo, você vai ver como melhorar em produtividade (dicas rápidas) [8] com exemplos diretos. Se este material te ajudou, compartilhe e salve para rever depois. Conteúdo em português, focado em aplicação prática e boas práticas. Canal: Canal Produtividade 01. Novos vídeos toda semana.",2023-11-23,PUBLICO,PL100000369,Produtividade — Série 3,pt-BR
yGf3azU3iQO,https://www.youtube.com/watch?v=yGf3azU3iQO,Produtividade: guia completo #9,188679,33234,26764,22846,00:21:11,6286,1080,UC1000000214,Canal Produtividade 01,211005,Notícias;Ciência;Culinária,carreira;avançado;treino;brasil;dicas;ciência;viagem;2024,"Neste vídeo, você vai ver produtividade: guia completo #9 com exemplos diretos. Conteúdo em português, focado em aplicação prática e boas práticas. Se este material te ajudou, compartilhe e salve para rever depois. Canal: Canal Produtividade 01. Novos vídeos toda semana.",2024-03-19,PUBLICO,PL100000369,Produtividade — Série 3,pt-BR
vkKQlENCzsd,https://www.youtube.com/watch?v=vkKQlENCzsd,Produtividade: guia completo #10,64184,10015,4772,10318,00:40:17,2852,1080,UC1000000214,Canal Produtividade 01,211005,Notícias;Música,tecnologia;empreendedorismo;dicas;humor;música,"Se este material te ajudou, compartilhe e salve para rever depois. Canal: Canal Produtividade 01. Novos vídeos toda semana. Conteúdo em português, focado em aplicação prática e boas práticas. Neste vídeo, você vai ver produtividade: guia completo #10 com exemplos diretos.",2020-12-21,PUBLICO,PL100000369,Produtividade — Série 3,pt-BR
